"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",1889.40687011329,3570.48124256306,2547.30690578203,3231.78573879953,3999.99999999999,4000,4000,4000,4035.74674338504,3706.32717395913,4000,4000.00000000001,4000.00000000001,4000
"2",1737.49760473931,1542.26879092405,2604.94603730845,1906.29596532285,3763.1786635835,3618.24619502955,3505.48955522241,3411.97990133186,4000,3603.64467534715,4000.00000000001,3557.0725326008,3792.47092566465,4000
"3",2018.08888710862,649.42818982598,2245.25985159496,1313.95619460829,2368.24445507073,3999.99999999999,3611.22283632684,3476.8695034048,3805.38209198272,3677.35607870577,4000,3725.97850410948,3702.52133707704,4000
"4",1991.08892354546,4000.00000000001,2605.1777143806,4216.06995504064,3100.43243324541,3801.50318463178,3883.50197201641,3823.141888237,4050.60527253145,3662.66563404257,4000.00000000001,3999.99999999999,3764.06439755998,3813.3266706114
"5",1941.93652479614,4000,2454.98196004236,4000,4188.41571183373,3999.99999999999,4000,4000.00000000001,4523.46585870075,4000,4000,4000.00000000001,4109.96877632099,3942.52448915471
"6",1767.34131211206,3999.99999999999,2388.19754139591,4000.00000000002,3999.99999999999,3999.99999999999,3999.99999999999,4000,3771.9402760844,3681.89821210438,4134.26383025424,4474.25404144499,3774.68356685831,4000.00000000001
"7",1917.93970904443,4000,2678.16275293845,4000.00000000001,3999.99999999999,3764.9922121958,3718.42710213332,3141.40267745522,3705.50170123212,3641.39845375699,3617.3114592497,4000.00000000001,4000,4178.04159160039
"8",1786.93523714671,4000,2490.54635932715,4000,4000,3999.99999999999,3999.99999999999,4184.20698321818,3999.99999999999,4000.00000000001,4000,4000,3806.66135493207,3752.36171873498
"9",2471.46109707812,3608.05196525276,2740.95338413128,4000,4000,4000,3999.99999999999,3266.74429194114,3999.99999999999,3714.87423981026,4000.00000000001,4000,4201.69549074619,4713.65525330171
"10",2155.69532684279,3999.99999999999,2624.38824473003,4233.37700378752,4000,4000.00000000001,4000,3810.96101854634,4000,3878.48876173103,4000,4213.03812730282,3999.99999999999,4000.00000000001
"11",1819.41157070785,1031.7389028449,2625.86020522578,4000,3320.4553933359,2874.05179439956,3818.27493238789,2910.66099003207,3287.14664801781,3999.99999999999,3705.0875392833,3720.53947614569,3790.09696089418,3575.49234389966
"12",1744.02115489608,4000.00000000001,2789.15584760488,4000.00000000001,3289.84476701021,3002.45278182364,4000,4000,3784.22517704158,3196.86042878066,4000,4000,4000.00000000001,4000
"13",1576.0993875903,4000,2394.7417144696,3999.99999999999,3393.79017018036,4000,3603.68692236417,4000,3727.47886771412,3671.16860340728,3664.1014899921,4000,3013.69606191372,3744.55087865086
"14",1961.21551912359,1096.84086149323,3155.32078088711,3794.62146784189,3522.08482812419,2721.89115634918,3125.01631229419,2372.80106426846,3999.99999999999,3752.69744996069,3276.02416074265,3773.58578363501,3584.49347922426,2476.15801433844
"15",1863.2898691574,4000,2900.60034840583,4000.00000000001,3692.42155836049,4000.00000000001,3786.32135163809,4000.00000000001,4000,3701.71116926073,3701.70787163444,3999.99999999999,4000,3724.49931478524
"16",1895.13865598102,3576.26837391517,2685.21571309258,3999.99999999999,3345.18417218987,3637.63042292866,3766.11018138312,4000,3990.60574285625,4000,4000.00000000001,3736.88440192517,4000,4000
