"","coefficient","posterior.mean","lower","upper","model","species"
"1","intercept","-0.826202709350001","-2.25945","0.73164","Ovaskainen 2016 NS","Culex_pipiens_sl"
"2","depth__cm","-0.0263275136573075","-0.0555015","0.00106885","Ovaskainen 2016 NS","Culex_pipiens_sl"
"3","temperature__C","-0.038828051671275","-0.124515","0.0417165","Ovaskainen 2016 NS","Culex_pipiens_sl"
"4","oxidation_reduction_potential__Mv","-0.01710375495","-0.0266075","-0.0084634","Ovaskainen 2016 NS","Culex_pipiens_sl"
"5","salinity__ppt","0.0287841690745","-0.053042","0.098601","Ovaskainen 2016 NS","Culex_pipiens_sl"
"6","water_crowfoot__Ranunculus","0.307916307558251","-0.18457","0.80454","Ovaskainen 2016 NS","Culex_pipiens_sl"
"7","rushes__Juncus_or_Scirpus","0.14374280934","-0.52363","0.81241","Ovaskainen 2016 NS","Culex_pipiens_sl"
"8","filamentous_algae","0.523159967410001","0.039679","1.0299","Ovaskainen 2016 NS","Culex_pipiens_sl"
"9","emergent_grass","-0.5076936114125","-1.332","0.30553","Ovaskainen 2016 NS","Culex_pipiens_sl"
"10","ivy_leafed_duckweed__Lemna_trisulca","-0.2348390320705","-1.1091","0.652605","Ovaskainen 2016 NS","Culex_pipiens_sl"
"11","bulrushes__Typha","0.308803949777","-0.361405","0.99989","Ovaskainen 2016 NS","Culex_pipiens_sl"
"12","reeds_Phragmites","0.279406896693675","-0.298135","0.82521","Ovaskainen 2016 NS","Culex_pipiens_sl"
"13","marestail__Hippuris","-0.10935916615775","-0.758645","0.48283","Ovaskainen 2016 NS","Culex_pipiens_sl"
"14","common_duckweed__Lemna_minor","0.492339402902499","-0.0513475","1.06165","Ovaskainen 2016 NS","Culex_pipiens_sl"
"15","intercept","-0.895669193797499","-2.4667","0.73955","Ovaskainen 2016 NS","Culex_modestus"
"16","depth__cm","-0.0611469309749999","-0.116785","-0.023657","Ovaskainen 2016 NS","Culex_modestus"
"17","temperature__C","-0.02663202874375","-0.129625","0.065943","Ovaskainen 2016 NS","Culex_modestus"
"18","oxidation_reduction_potential__Mv","-0.00793840123700002","-0.019152","0.00043372","Ovaskainen 2016 NS","Culex_modestus"
"19","salinity__ppt","0.0795601145462499","-0.014186","0.179795","Ovaskainen 2016 NS","Culex_modestus"
"20","water_crowfoot__Ranunculus","0.5612186000515","-0.020257","1.18945","Ovaskainen 2016 NS","Culex_modestus"
"21","rushes__Juncus_or_Scirpus","0.665171932889999","-0.0907845","1.54115","Ovaskainen 2016 NS","Culex_modestus"
"22","filamentous_algae","1.006526489","0.39075","1.7863","Ovaskainen 2016 NS","Culex_modestus"
"23","emergent_grass","-0.742410924800001","-1.69805","0.1352","Ovaskainen 2016 NS","Culex_modestus"
"24","ivy_leafed_duckweed__Lemna_trisulca","-0.03633433163","-1.0338","0.965455","Ovaskainen 2016 NS","Culex_modestus"
"25","bulrushes__Typha","0.12679608877","-0.6234","0.93743","Ovaskainen 2016 NS","Culex_modestus"
"26","reeds_Phragmites","0.5156288885535","-0.12693","1.21735","Ovaskainen 2016 NS","Culex_modestus"
"27","marestail__Hippuris","0.370761148525001","-0.305225","1.1273","Ovaskainen 2016 NS","Culex_modestus"
"28","common_duckweed__Lemna_minor","0.698203904349999","0.044051","1.4153","Ovaskainen 2016 NS","Culex_modestus"
"29","intercept","-1.0057509291575","-2.56365","0.5068","Ovaskainen 2016 NS","Culiseta_annulata"
"30","depth__cm","-0.0377550825825001","-0.16823","0.051515","Ovaskainen 2016 NS","Culiseta_annulata"
"31","temperature__C","-0.1303581532125","-0.29116","0.012148","Ovaskainen 2016 NS","Culiseta_annulata"
"32","oxidation_reduction_potential__Mv","-0.02509395447","-0.0408115","-0.012878","Ovaskainen 2016 NS","Culiseta_annulata"
"33","salinity__ppt","-0.0686501082784999","-0.34929","0.121265","Ovaskainen 2016 NS","Culiseta_annulata"
"34","water_crowfoot__Ranunculus","0.19666373162","-0.604635","0.911255","Ovaskainen 2016 NS","Culiseta_annulata"
"35","rushes__Juncus_or_Scirpus","0.0946988403849998","-0.81345","0.931835","Ovaskainen 2016 NS","Culiseta_annulata"
"36","filamentous_algae","-0.23145645251","-1.2173","0.669595","Ovaskainen 2016 NS","Culiseta_annulata"
"37","emergent_grass","-0.604128008674998","-1.60765","0.35436","Ovaskainen 2016 NS","Culiseta_annulata"
"38","ivy_leafed_duckweed__Lemna_trisulca","-0.233258652982499","-1.33505","0.80887","Ovaskainen 2016 NS","Culiseta_annulata"
"39","bulrushes__Typha","-0.108952935855","-1.02195","0.8679","Ovaskainen 2016 NS","Culiseta_annulata"
"40","reeds_Phragmites","0.298303845417499","-0.489885","1.06225","Ovaskainen 2016 NS","Culiseta_annulata"
"41","marestail__Hippuris","-0.27225888159","-1.17685","0.520115","Ovaskainen 2016 NS","Culiseta_annulata"
"42","common_duckweed__Lemna_minor","0.161456845971837","-0.675105","0.91319","Ovaskainen 2016 NS","Culiseta_annulata"
"43","intercept","-0.93236252516","-2.49165","0.65766","Ovaskainen 2016 NS","Anopheles_maculipennis_sl"
"44","depth__cm","-0.02572232771525","-0.0532075","-0.00148085","Ovaskainen 2016 NS","Anopheles_maculipennis_sl"
"45","temperature__C","-0.0039667034585","-0.0977985","0.084201","Ovaskainen 2016 NS","Anopheles_maculipennis_sl"
"46","oxidation_reduction_potential__Mv","0.002227254621075","-0.00508725","0.0100935","Ovaskainen 2016 NS","Anopheles_maculipennis_sl"
"47","salinity__ppt","-0.12167606259775","-0.27793","0.0148655","Ovaskainen 2016 NS","Anopheles_maculipennis_sl"
"48","water_crowfoot__Ranunculus","0.73478259905","0.240765","1.29335","Ovaskainen 2016 NS","Anopheles_maculipennis_sl"
"49","rushes__Juncus_or_Scirpus","0.955753937000003","0.23543","1.7559","Ovaskainen 2016 NS","Anopheles_maculipennis_sl"
"50","filamentous_algae","1.110017785","0.61444","1.6786","Ovaskainen 2016 NS","Anopheles_maculipennis_sl"
"51","emergent_grass","-0.461149872715","-1.38405","0.40909","Ovaskainen 2016 NS","Anopheles_maculipennis_sl"
"52","ivy_leafed_duckweed__Lemna_trisulca","-0.2448149285575","-1.206","0.70357","Ovaskainen 2016 NS","Anopheles_maculipennis_sl"
"53","bulrushes__Typha","-0.01922738228725","-0.741705","0.693755","Ovaskainen 2016 NS","Anopheles_maculipennis_sl"
"54","reeds_Phragmites","0.2557981152445","-0.347315","0.849105","Ovaskainen 2016 NS","Anopheles_maculipennis_sl"
"55","marestail__Hippuris","0.424405022325","-0.17613","1.03425","Ovaskainen 2016 NS","Anopheles_maculipennis_sl"
