"","coefficient","posterior.mean","lower","upper","sd","model","species"
"V1","intercept","1.37116759087513","-1.25773918305624","3.79871379947352","1.32411184726261","Pollock","Culex_pipiens_sl"
"V2","depth__cm","-0.019953409097017","-0.0422777518765449","-0.00470140669816355","0.0102455549336977","Pollock","Culex_pipiens_sl"
"V3","temperature__C","-0.112951891362952","-0.225670883524923","-0.000856521581052452","0.0565991751977132","Pollock","Culex_pipiens_sl"
"V4","oxidation_reduction_potential__Mv","-0.00898003164955383","-0.0153831627296301","-0.00388826661098906","0.00294452239955342","Pollock","Culex_pipiens_sl"
"V5","salinity__ppt","-0.00132669680457504","-0.0566194882268388","0.0588090840017192","0.0299632846302095","Pollock","Culex_pipiens_sl"
"V6","water_crowfoot__Ranunculus","0.255754106339463","-0.0583839224536814","0.54243931838542","0.148315094760437","Pollock","Culex_pipiens_sl"
"V7","rushes__Juncus_or_Scirpus","-0.138155715828365","-0.749862086421819","0.357649730226408","0.290560762789018","Pollock","Culex_pipiens_sl"
"V8","filamentous_algae","0.610340765892044","0.129416439234235","1.07019275990801","0.242653396697607","Pollock","Culex_pipiens_sl"
"V9","emergent_grass","-0.454062213304557","-0.987109804847758","0.0203159563203295","0.262220442759167","Pollock","Culex_pipiens_sl"
"V10","ivy_leafed_duckweed__Lemna_trisulca","-0.525304180627144","-1.5642081028313","0.393073361876738","0.48570736586475","Pollock","Culex_pipiens_sl"
"V11","bulrushes__Typha","0.321276853292825","-0.360010511340266","1.06485374987938","0.369577928015312","Pollock","Culex_pipiens_sl"
"V12","reeds_Phragmites","0.192348132363166","-0.288321903463654","0.647704764855227","0.234418575790664","Pollock","Culex_pipiens_sl"
"V13","marestail__Hippuris","-0.0881981506565156","-0.643090393628122","0.35256261654978","0.252595204497944","Pollock","Culex_pipiens_sl"
"V14","common_duckweed__Lemna_minor","0.42580359438365","0.00419628488191883","0.879188004857446","0.219842335745811","Pollock","Culex_pipiens_sl"
"V15","intercept","-0.686349527249715","-2.33880542868187","0.97432165760821","0.896466184358241","Pollock","Culex_modestus"
"V21","depth__cm","-0.0204764778801934","-0.0436938212807982","-0.00438855971879289","0.010562070865652","Pollock","Culex_modestus"
"V31","temperature__C","-0.00622670517039844","-0.101517585927132","0.0720927548527705","0.0465470704485662","Pollock","Culex_modestus"
"V41","oxidation_reduction_potential__Mv","-0.00354836139435672","-0.00857524045903775","0.00100503549200711","0.00246339114645712","Pollock","Culex_modestus"
"V51","salinity__ppt","0.0342242258143497","-0.0222295759711539","0.0866756661935463","0.0279861508990225","Pollock","Culex_modestus"
"V61","water_crowfoot__Ranunculus","0.275459071608487","-0.0374690514311499","0.544539758138948","0.144432093837682","Pollock","Culex_modestus"
"V71","rushes__Juncus_or_Scirpus","0.0613425302664584","-0.594113038550034","0.546446026177797","0.2792298974432","Pollock","Culex_modestus"
"V81","filamentous_algae","0.685128502295912","0.26505981896955","1.13459500681981","0.226215625803413","Pollock","Culex_modestus"
"V91","emergent_grass","-0.528897356849429","-1.14977496904356","-0.047317534870435","0.282308172676744","Pollock","Culex_modestus"
"V101","ivy_leafed_duckweed__Lemna_trisulca","-0.0832436630867189","-1.00860485725209","1.22288981676548","0.566300186589886","Pollock","Culex_modestus"
"V111","bulrushes__Typha","0.0158712230238402","-0.678418410407442","0.677616801659062","0.344158101101112","Pollock","Culex_modestus"
"V121","reeds_Phragmites","0.426607538369091","-0.00220286538408997","0.873625289370337","0.228203131210969","Pollock","Culex_modestus"
"V131","marestail__Hippuris","0.165956023116227","-0.321643745929447","0.719094418792228","0.261303583795986","Pollock","Culex_modestus"
"V141","common_duckweed__Lemna_minor","0.461410321421271","0.0427825796061678","0.955370509033184","0.225203518885356","Pollock","Culex_modestus"
"V16","intercept","3.34662500763892","-2.22311639628726","8.68349310386772","3.6973821890656","Pollock","Culiseta_annulata"
"V22","depth__cm","-0.016043372149425","-0.0444749675738119","0.00617779612260304","0.0127711693080909","Pollock","Culiseta_annulata"
"V32","temperature__C","-0.286597339091912","-0.553911590827925","-0.0169515407004403","0.180053887560048","Pollock","Culiseta_annulata"
"V42","oxidation_reduction_potential__Mv","-0.00918334477494342","-0.0180414335272614","0.00061673288065668","0.00510066858672988","Pollock","Culiseta_annulata"
"V52","salinity__ppt","-0.0541016884308129","-0.177492474926745","0.0254750671495204","0.0540796621851624","Pollock","Culiseta_annulata"
"V62","water_crowfoot__Ranunculus","0.263764874725423","-0.113194070033446","0.609335502582405","0.1701560826954","Pollock","Culiseta_annulata"
"V72","rushes__Juncus_or_Scirpus","0.0460797312731083","-0.644290901383468","0.736253677297748","0.324439925895227","Pollock","Culiseta_annulata"
"V82","filamentous_algae","-0.420731061610748","-1.03661936128074","0.150629937746812","0.301883322688035","Pollock","Culiseta_annulata"
"V92","emergent_grass","-0.496889406475304","-1.05380398125829","-0.0191890503956071","0.274624824288928","Pollock","Culiseta_annulata"
"V102","ivy_leafed_duckweed__Lemna_trisulca","-0.458813567318805","-1.53303381445884","0.811849510761794","0.550631983146828","Pollock","Culiseta_annulata"
"V112","bulrushes__Typha","0.309908858320161","-0.550539838863575","1.09272042343914","0.416890460137057","Pollock","Culiseta_annulata"
"V122","reeds_Phragmites","0.198518910995477","-0.359412894403192","0.686306197295768","0.262936416906529","Pollock","Culiseta_annulata"
"V132","marestail__Hippuris","0.194800066207056","-0.470875140371287","1.06938920006596","0.39182685170997","Pollock","Culiseta_annulata"
"V142","common_duckweed__Lemna_minor","0.317989338906542","-0.449987058260899","0.857468457960741","0.315934688587559","Pollock","Culiseta_annulata"
"V17","intercept","-1.91866548194172","-4.06916551783393","0.00143565404535076","1.06613221581841","Pollock","Anopheles_maculipennis_sl"
"V23","depth__cm","-0.00774018896075381","-0.0202471088929737","0.00591287838429097","0.00638915172272933","Pollock","Anopheles_maculipennis_sl"
