"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",1,0.173449090625398,-0.098042425990793,-0.154238281654609,-0.3979541311749,-0.355821869525825,0.0831719634397913,-0.352190557570333,-0.322999360886689,-0.25466389240619,0.00190566539573147,-0.47167521500704,-0.386051693568684,-0.31018894314046,-0.475255703200155,-0.267469241577161
"Culex_modestus",0.173449090625398,1,-0.168883811324124,0.191386700884524,-0.0781082625731951,-0.176200088262219,0.24878452087036,-0.156736180435003,-0.471807249392996,-0.17237083778472,0.155342960256165,-0.390968925602058,0.000569381100072391,0.05133449418479,-0.429124106721862,-0.00628299183022993
"Culiseta_annulata",-0.098042425990793,-0.168883811324124,1,-0.506849642081281,-0.426634592375337,-0.104479321263064,-0.226153271047713,-0.352036292630788,-0.491959150323154,-0.462879597558039,-0.195520300249008,-0.470589126243085,-0.294377654563315,-0.112039033741847,-0.528863777220402,-0.523225352896557
"Anopheles_maculipennis_sl",-0.154238281654609,0.191386700884524,-0.506849642081281,1,-0.00677926387366304,-0.164801671831645,0.16516204690194,-0.316235226502975,-0.717114881128675,-0.234847455962553,0.302267425033997,-0.310048425912622,-0.0426673890256043,0.0981950063982229,-0.434039449414002,-0.0460291501961789
"waterboatmen__Corixidae",-0.397954131174901,-0.0781082625731952,-0.426634592375337,-0.00677926387366305,1,-0.065037599116419,0.0297000113399072,-0.0799724979987603,-0.39845437598803,-0.21773606122995,-0.207984232512892,-0.277284595519465,-0.0643046250233213,-0.296379141173985,-0.344497094462021,-0.166521157394466
"diving_beetles__Dysticidae",-0.355821869525825,-0.176200088262219,-0.104479321263064,-0.164801671831645,-0.0650375991164191,1,0.0668837290580819,-0.0061916351661605,-0.0898163624010987,0.14112951818366,-0.0853140843030964,-0.603040328726117,0.110812419166047,-0.0879431508954425,-0.459250959786404,-0.421949158342418
"damselflies__Zygoptera",0.0831719634397914,0.24878452087036,-0.226153271047714,0.16516204690194,0.0297000113399071,0.0668837290580821,1,0.0763593247939761,-0.334130821802135,0.053285651888487,0.0515735572087534,-0.390543410783549,-0.0540305347267733,-0.18016328200551,-0.482454303542856,-0.0659390735095108
"swimming_beetles__Haliplidae",-0.352190557570333,-0.156736180435003,-0.352036292630787,-0.316235226502975,-0.0799724979987602,-0.00619163516616062,0.0763593247939761,1,-0.34136998794359,0.240627368912159,-0.0372034796267271,-0.430481750146829,-0.130865388645063,0.00512013711204695,-0.552200617172048,0.207231713187666
"opossum_shrimps__Mysidae",-0.32299936088669,-0.471807249392996,-0.491959150323154,-0.717114881128675,-0.39845437598803,-0.0898163624010987,-0.334130821802135,-0.34136998794359,1,-0.00981685498097251,-0.64345516446474,-0.362755841954192,-0.254397190654912,-0.650690966549531,-0.195784944204559,-0.712934793151441
"ditch_shrimp__Gammarus",-0.25466389240619,-0.172370837784719,-0.462879597558039,-0.234847455962553,-0.21773606122995,0.14112951818366,0.0532856518884869,0.240627368912159,-0.0098168549809727,1,-0.177649498018147,-0.481679294661216,-0.185669559172159,-0.261539209533803,-0.36423231757851,-0.191576277517526
"beetle_larvae__Coleoptera",0.00190566539573169,0.155342960256165,-0.195520300249008,0.302267425033997,-0.207984232512893,-0.0853140843030956,0.0515735572087536,-0.0372034796267272,-0.64345516446474,-0.177649498018147,1,-0.537419191186333,-0.139551285082311,0.417979337099364,-0.557296239985071,-0.0239967414671043
"dragonflies__Anisoptera",-0.47167521500704,-0.390968925602058,-0.470589126243085,-0.310048425912622,-0.277284595519465,-0.603040328726118,-0.390543410783549,-0.430481750146829,-0.362755841954192,-0.481679294661215,-0.537419191186333,1,-0.416826428369288,-0.618810471384122,-0.398863940289604,-0.318086319115064
"mayflies__Ephemeroptera",-0.386051693568684,0.000569381100072321,-0.294377654563315,-0.0426673890256044,-0.0643046250233213,0.110812419166047,-0.0540305347267729,-0.130865388645063,-0.254397190654912,-0.185669559172159,-0.139551285082311,-0.416826428369288,1,-0.0751465790117699,-0.458687919288619,-0.191784919201026
"newts__Pleurodelinae",-0.31018894314046,0.05133449418479,-0.112039033741847,0.0981950063982224,-0.296379141173985,-0.0879431508954425,-0.180163282005511,0.00512013711204742,-0.650690966549532,-0.261539209533803,0.417979337099365,-0.618810471384122,-0.0751465790117698,1,-0.46955934657285,-0.0287536387445385
"fish",-0.475255703200155,-0.429124106721862,-0.528863777220402,-0.434039449414002,-0.344497094462021,-0.459250959786404,-0.482454303542856,-0.552200617172048,-0.195784944204559,-0.36423231757851,-0.557296239985071,-0.398863940289603,-0.458687919288619,-0.469559346572851,1,-0.434185239717103
"saucer_bugs__Ilyocoris",-0.267469241577161,-0.00628299183022974,-0.523225352896557,-0.0460291501961788,-0.166521157394466,-0.421949158342417,-0.0659390735095108,0.207231713187667,-0.712934793151441,-0.191576277517526,-0.0239967414671044,-0.318086319115065,-0.191784919201026,-0.0287536387445383,-0.434185239717103,1
