"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",1,0.429990803018579,0.259533538000903,0.116482139481853,-0.15344901658138,-0.104182301104957,0.317515476007146,-0.0865091460159631,-0.00903364090606641,-0.00117031170432761,0.259224052340765,-0.0513904485585648,-0.101469426348869,0.049258269754784,-0.13980402781035,0.00245921175161882
"Culex_modestus",0.429990803018579,1,0.283940779078483,0.439455489411288,0.20214670993073,0.140768935303735,0.500963488856703,0.0829572833065942,-0.245108666991599,0.0605023309245864,0.436627527577594,-0.059914384468705,0.246773530136209,0.361429832284621,-0.147642496991149,0.229581320795879
"Culiseta_annulata",0.259533538000903,0.283940779078483,1,0.0110176336533045,-0.053601829518931,0.30500244474201,0.221265161105221,0.0111430965040906,0.0750031758990652,0.0427092995440052,0.19796692549578,-0.188326678923439,0.163629783630256,0.272014779853088,-0.0919511845958127,-0.0422844654369025
"Anopheles_maculipennis_sl",0.116482139481853,0.439455489411288,0.0110176336533045,1,0.250268722991639,0.0997769858322242,0.374238849224904,0.0268821665162463,-0.540160693982924,0.0184354946505249,0.510556419467752,-0.0136946136139134,0.225005127691925,0.38365355356102,-0.184688481015545,0.379313727762813
"waterboatmen__Corixidae",-0.15344901658138,0.20214670993073,-0.053601829518931,0.250268722991639,1,0.198533456563266,0.255946462563058,0.177966664123909,-0.128803017585662,0.0560757180497939,0.0870773473506156,0.11996634252368,0.187603095638588,0.113399757334981,0.0369637230413205,0.124137798614789
"diving_beetles__Dysticidae",-0.104182301104957,0.140768935303735,0.30500244474201,0.0997769858322242,0.198533456563266,1,0.305126442021085,0.258179591656802,0.239401983660714,0.431131084891377,0.155962617580734,-0.358638119592849,0.354368840621196,0.287197038553055,-0.0803505232636521,-0.114593137954672
"damselflies__Zygoptera",0.317515476007146,0.500963488856703,0.221265161105221,0.374238849224904,0.255946462563058,0.305126442021085,1,0.272363681521817,-0.0859167135983881,0.28532750902479,0.330545303722634,-0.0913782474559657,0.272855525244596,0.225128757885549,-0.227036220755656,0.199390717648634
"swimming_beetles__Haliplidae",-0.0865091460159631,0.0829572833065942,0.0111430965040906,0.0268821665162463,0.177966664123909,0.258179591656802,0.272363681521817,1,-0.0645826802219421,0.491541047969556,0.335211483124259,-0.0710433602527078,0.129259605356447,0.372121682796095,-0.277026755074307,0.483508858887486
"opossum_shrimps__Mysidae",-0.00903364090606641,-0.245108666991599,0.0750031758990652,-0.540160693982924,-0.128803017585662,0.239401983660714,-0.0859167135983881,-0.0645826802219421,1,0.243656660399763,-0.374277848879743,-0.051723579849916,0.0137320870049694,-0.288852436398901,0.0544413539946755,-0.441038346572537
"ditch_shrimp__Gammarus",-0.0011703117043276,0.0605023309245864,0.0427092995440052,0.0184354946505249,0.0560757180497939,0.431131084891377,0.28532750902479,0.491541047969556,0.243656660399763,1,0.216567988973476,-0.185157696545365,0.056119668939157,0.22271208503789,-0.101808227573408,0.145214970998694
"beetle_larvae__Coleoptera",0.259224052340765,0.436627527577594,0.19796692549578,0.510556419467752,0.0870773473506156,0.155962617580734,0.330545303722634,0.335211483124259,-0.374277848879743,0.216567988973476,1,-0.263245586740675,0.13657607852225,0.699158019377711,-0.252686224978389,0.352803590358575
"dragonflies__Anisoptera",-0.0513904485585648,-0.059914384468705,-0.188326678923439,-0.0136946136139134,0.11996634252368,-0.358638119592849,-0.0913782474559657,-0.0710433602527078,-0.0517235798499159,-0.185157696545365,-0.263245586740675,1,-0.0733297533255728,-0.360220430432442,-0.109602461375065,0.182466628058815
"mayflies__Ephemeroptera",-0.101469426348869,0.246773530136209,0.163629783630256,0.225005127691925,0.187603095638588,0.354368840621196,0.272855525244596,0.129259605356447,0.0137320870049694,0.056119668939157,0.13657607852225,-0.0733297533255728,1,0.216023504049336,-0.0919608683825986,0.0780578089876971
"newts__Pleurodelinae",0.049258269754784,0.361429832284621,0.272014779853088,0.38365355356102,0.113399757334981,0.287197038553055,0.225128757885549,0.372121682796095,-0.288852436398901,0.22271208503789,0.699158019377711,-0.360220430432442,0.216023504049336,1,-0.14606712984135,0.336770471153413
"fish",-0.13980402781035,-0.147642496991149,-0.0919511845958127,-0.184688481015545,0.0369637230413205,-0.0803505232636521,-0.227036220755656,-0.277026755074307,0.0544413539946755,-0.101808227573408,-0.252686224978388,-0.109602461375065,-0.0919608683825986,-0.14606712984135,1,-0.173588185451243
"saucer_bugs__Ilyocoris",0.00245921175161882,0.229581320795879,-0.0422844654369025,0.379313727762813,0.124137798614789,-0.114593137954672,0.199390717648634,0.483508858887486,-0.441038346572537,0.145214970998694,0.352803590358575,0.182466628058815,0.0780578089876971,0.336770471153413,-0.173588185451243,1
