"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",0,0.116202139784918,0.191943682541878,0.137576478804936,0.132919539639295,0.135418039243333,0.115155778176825,0.150670032749187,0.159292895117394,0.126914281638874,0.135077219858276,0.209444484180656,0.148740110677376,0.189521986047163,0.191408989999535,0.14921476876768
"Culex_modestus",0.116202139784918,0,0.238091816435066,0.114187658683483,0.132638357469365,0.155085400041294,0.108689057206372,0.122096061272154,0.123962766564358,0.121028440131466,0.141720009425272,0.178578358464949,0.122262761772692,0.158737595011801,0.148631960413713,0.115989385759178
"Culiseta_annulata",0.191943682541878,0.238091816435066,0,0.299905782728298,0.19288112913874,0.204620540048118,0.199749579819688,0.187291442927478,0.300761304213672,0.268502805515373,0.192341862223748,0.158334627613057,0.242647283448598,0.181817731493694,0.191864058256518,0.274260337319236
"Anopheles_maculipennis_sl",0.137576478804936,0.114187658683483,0.299905782728298,0,0.120093851710671,0.136385805734013,0.109493220800591,0.181432986634881,0.114961644479388,0.136641741138332,0.106964662373643,0.153453561453607,0.123527966641857,0.145929121207451,0.137170812726753,0.198354122514664
"waterboatmen__Corixidae",0.132919539639295,0.132638357469365,0.19288112913874,0.120093851710671,0,0.126295231934661,0.117915001134815,0.138022612151257,0.138094660320223,0.132949909476927,0.154148682564815,0.191199731727271,0.128344032616667,0.213380082764085,0.19443798780873,0.137431126957387
"diving_beetles__Dysticidae",0.135418039243333,0.155085400041294,0.204620540048118,0.136385805734013,0.126295231934661,0,0.120520658670824,0.132045756304273,0.165544539046146,0.13419921862328,0.122693713757403,0.129553526745072,0.12257762667331,0.200687061262732,0.1868247804736,0.169670453273923
"damselflies__Zygoptera",0.115155778176825,0.108689057206372,0.199749579819688,0.109493220800591,0.117915001134815,0.120520658670824,0,0.0954275018803625,0.132192538757373,0.113499639105816,0.146342420681961,0.199289942313589,0.168100717269572,0.20521696758825,0.154899143582617,0.134641547932883
"swimming_beetles__Haliplidae",0.150670032749187,0.122096061272154,0.187291442927478,0.181432986634881,0.138022612151257,0.132045756304273,0.0954275018803625,0,0.133407201260818,0.126850671879926,0.183877304528959,0.17502618867415,0.126288996559493,0.152575125637019,0.167941735974068,0.142016194874102
"opossum_shrimps__Mysidae",0.159292895117394,0.123962766564358,0.300761304213672,0.114961644479388,0.138094660320223,0.165544539046146,0.132192538757373,0.133407201260818,0,0.124914433377094,0.159789691323274,0.190408057125639,0.136350220157457,0.195447328358569,0.132020571833165,0.169529785169969
"ditch_shrimp__Gammarus",0.126914281638874,0.121028440131466,0.268502805515373,0.136641741138332,0.132949909476927,0.13419921862328,0.113499639105816,0.126850671879926,0.124914433377094,0,0.190649000246539,0.172757073675869,0.124790287997717,0.2366459057727,0.146838058880009,0.176301334892943
"beetle_larvae__Coleoptera",0.135077219858276,0.141720009425272,0.192341862223748,0.106964662373643,0.154148682564815,0.122693713757403,0.146342420681961,0.183877304528959,0.159789691323274,0.190649000246539,0,0.154167629048148,0.141000653930475,0.128533881603537,0.178435354906925,0.204337658487698
"dragonflies__Anisoptera",0.209444484180656,0.178578358464949,0.158334627613057,0.153453561453607,0.191199731727271,0.129553526745072,0.199289942313589,0.17502618867415,0.190408057125639,0.172757073675869,0.154167629048148,0,0.160743442005559,0.153014578580187,0.151591655757533,0.194962005153004
"mayflies__Ephemeroptera",0.148740110677376,0.122262761772692,0.242647283448598,0.123527966641857,0.128344032616667,0.12257762667331,0.168100717269572,0.126288996559493,0.136350220157457,0.124790287997717,0.141000653930475,0.160743442005559,0,0.146151676014678,0.182388113312656,0.141283004511765
"newts__Pleurodelinae",0.189521986047163,0.158737595011801,0.181817731493694,0.145929121207451,0.213380082764085,0.200687061262732,0.20521696758825,0.152575125637019,0.195447328358569,0.2366459057727,0.128533881603537,0.153014578580187,0.146151676014678,0,0.221469580264342,0.192602455103034
"fish",0.191408989999535,0.148631960413713,0.191864058256518,0.137170812726753,0.19443798780873,0.1868247804736,0.154899143582617,0.167941735974068,0.132020571833165,0.146838058880009,0.178435354906925,0.151591655757533,0.182388113312656,0.221469580264342,0,0.132331324135791
"saucer_bugs__Ilyocoris",0.14921476876768,0.115989385759178,0.274260337319236,0.198354122514664,0.137431126957387,0.169670453273923,0.134641547932883,0.142016194874102,0.169529785169969,0.176301334892943,0.204337658487698,0.194962005153004,0.141283004511765,0.192602455103034,0.132331324135791,0
