"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",1,0.633045860251111,0.601457247428821,0.375276260496719,0.114110184187437,0.166799981967468,0.532121703804966,0.227540377696298,0.282837904260108,0.243565607889923,0.53462581740638,0.335546728953965,0.177893507751783,0.393007392542708,0.255244539313556,0.292544205578765
"Culex_modestus",0.633045860251112,1,0.672099356406879,0.635553204072228,0.438591362848483,0.398806505035067,0.678473473965686,0.319678480909929,0.0130057278958889,0.297674654875072,0.682673431368381,0.294276447298717,0.470401242175158,0.642508242719828,0.130381207443754,0.444131912171097
"Culiseta_annulata",0.601457247428821,0.672099356406879,1,0.461360362103615,0.353231849650263,0.621575017432635,0.575256906103035,0.383189986217818,0.547589807951317,0.469745351057548,0.493437290386545,0.134859821857745,0.535785239454691,0.638670039433518,0.224067608571847,0.451162641638539
"Anopheles_maculipennis_sl",0.375276260496719,0.635553204072228,0.461360362103615,1,0.46173302736945,0.365083022046914,0.603065058159586,0.320011252047569,-0.249703106650761,0.293323357483077,0.704935254497517,0.269306827709695,0.449358629969924,0.654646402060124,0.0907268380456595,0.719103739113721
"waterboatmen__Corixidae",0.114110184187437,0.438591362848483,0.353231849650263,0.46173302736945,1,0.421720386074405,0.477955969290865,0.456108730653186,0.138345189435823,0.309021939047044,0.374350287966416,0.482209734557313,0.436302176676528,0.496472110127354,0.395734522610473,0.36972319699415
"diving_beetles__Dysticidae",0.166799981967467,0.398806505035067,0.621575017432635,0.365083022046914,0.421720386074405,1,0.542422626028678,0.498158952738761,0.552086524726897,0.662290024874636,0.395273236425223,-0.0971229709556317,0.593975991444042,0.636412380330259,0.244954683832808,0.228626345796548
"damselflies__Zygoptera",0.532121703804966,0.678473473965686,0.575256906103035,0.603065058159586,0.477955969290865,0.542422626028678,1,0.449943542949172,0.168459082604305,0.499272780670992,0.595716403832815,0.384150042863855,0.610166769423216,0.573479410136988,0.121155005200966,0.461838717656634
"swimming_beetles__Haliplidae",0.227540377696297,0.31967848090993,0.383189986217817,0.320011252047568,0.456108730653186,0.498158952738761,0.449943542949172,1,0.181010350032477,0.725161484655153,0.640533646431736,0.275516142224189,0.372353417143338,0.600330963882674,0.0924284997371312,0.728152616875106
"opossum_shrimps__Mysidae",0.282837904260109,0.0130057278958889,0.547589807951317,-0.249703106650761,0.138345189435823,0.552086524726896,0.168459082604305,0.181010350032477,1,0.473726529856222,-0.0731033620463034,0.354538795016702,0.270226264175001,0.109536349442249,0.321958724346333,-0.0518533260458073
"ditch_shrimp__Gammarus",0.243565607889922,0.297674654875072,0.469745351057548,0.293323357483077,0.309021939047044,0.662290024874637,0.499272780670992,0.725161484655153,0.473726529856222,1,0.521927321734982,0.205456698817647,0.29948096313963,0.597781291483712,0.197364392267458,0.462252652544495
"beetle_larvae__Coleoptera",0.534625817406379,0.682673431368381,0.493437290386545,0.704935254497517,0.374350287966416,0.395273236425223,0.595716403832815,0.640533646431736,-0.0731033620463037,0.521927321734982,1,0.079898566188788,0.398848461756949,0.885071398707723,0.101326782782263,0.696721905171863
"dragonflies__Anisoptera",0.335546728953965,0.294276447298717,0.134859821857745,0.269306827709694,0.482209734557313,-0.0971229709556319,0.384150042863855,0.275516142224189,0.354538795016702,0.205456698817647,0.0798985661887877,1,0.206170277836295,-0.0271829105598457,0.201526438049742,0.492862660179002
"mayflies__Ephemeroptera",0.177893507751783,0.470401242175158,0.535785239454692,0.449358629969924,0.436302176676529,0.593975991444042,0.610166769423216,0.372353417143338,0.270226264175001,0.29948096313963,0.398848461756949,0.206170277836295,1,0.482109600318251,0.242000364795563,0.364337685088139
"newts__Pleurodelinae",0.393007392542709,0.642508242719828,0.638670039433518,0.654646402060124,0.496472110127355,0.636412380330259,0.573479410136988,0.600330963882673,0.109536349442249,0.597781291483712,0.885071398707723,-0.0271829105598453,0.482109600318251,1,0.374011792432914,0.725019242531766
"fish",0.255244539313556,0.130381207443754,0.224067608571847,0.0907268380456597,0.395734522610473,0.244954683832808,0.121155005200966,0.0924284997371313,0.321958724346333,0.197364392267458,0.101326782782263,0.201526438049742,0.242000364795563,0.374011792432914,1,0.0779920411717815
"saucer_bugs__Ilyocoris",0.292544205578765,0.444131912171097,0.451162641638538,0.719103739113721,0.36972319699415,0.228626345796548,0.461838717656634,0.728152616875106,-0.0518533260458075,0.462252652544495,0.696721905171863,0.492862660179002,0.364337685088139,0.725019242531766,0.0779920411717814,1
