"","x"
"V1",135.070491129827
"V2",1015.55811144872
"V3",373.397884189364
"V4",802.49028720087
"V5",1541.11175189315
"V6",2069.71900379356
"V7",1327.79097636991
"V8",1367.2639792946
"V9",792.193983062216
"V10",694.811601629388
"V11",1287.15970760843
"V12",1640.82711909786
"V13",1472.66492295668
"V14",1871.9183574207
"V15",149.734675104671
"V16",290.917316276951
"V17",282.20424679546
"V18",509.597980007869
"V19",903.846713482206
"V20",774.572127801259
"V21",543.779706524863
"V22",425.263691260243
"V23",695.393369212921
"V24",544.410941706037
"V25",1004.04468297422
"V26",975.410259535499
"V27",913.351358423856
"V28",1205.49984303246
"V29",209.93751444851
"V30",87.1803166457142
"V31",189.224604906275
"V32",195.725491031311
"V33",177.863664006967
"V34",617.419536566656
"V35",703.932813461723
"V36",334.628579889769
"V37",736.61687712995
"V38",621.132515840203
"V39",760.938619526795
"V40",682.621723630863
"V41",575.883937841511
"V42",942.628211643744
"V43",139.228976632809
"V44",915.938498014672
"V45",321.84457354413
"V46",1282.01607277855
"V47",424.864563872554
"V48",1267.55999255905
"V49",725.223323849825
"V50",904.144326334525
"V51",623.282724343707
"V52",490.144220629522
"V53",1036.11288757119
"V54",1200.06719245212
"V55",1100.15794989236
"V56",1345.03487652392
"V57",121.419073250438
"V58",3212.69149801392
"V59",227.31921345026
"V60",2546.59776259411
"V61",719.91234163048
"V62",1651.74999881343
"V63",1571.63939892483
"V64",1840.58420561155
"V65",862.557146087815
"V66",565.945884919581
"V67",1572.37510557609
"V68",1901.07353931077
"V69",2287.47785035546
"V70",1593.45395462339
"V71",134.590923599696
"V72",2068.98561213524
"V73",282.153620547073
"V74",2670.56555018982
"V75",861.8515422556
"V76",2412.49468646071
"V77",1277.65014424048
"V78",2658.62308470838
"V79",729.538931450994
"V80",604.783495201613
"V81",1802.85873726609
"V82",2367.66374147278
"V83",2062.35440203329
"V84",2002.78181627079
"V85",117.123223799322
"V86",1334.27568073866
"V87",312.622868802336
"V88",1445.58647272525
"V89",711.994305023856
"V90",1313.5595833294
"V91",831.153784817992
"V92",652.474710463944
"V93",654.016890334843
"V94",536.41233073954
"V95",1211.04226857293
"V96",1212.29306166904
"V97",1048.46659338524
"V98",1362.58165487647
"V99",148.201991328211
"V100",2845.2059042836
"V101",325.512443975179
"V102",2699.11255990053
"V103",534.738772983899
"V104",2427.55696851203
"V105",1845.60094984268
"V106",2381.34708569123
"V107",882.247600618162
"V108",632.034679997153
"V109",1468.75954433038
"V110",2523.72842343277
"V111",2294.11132365224
"V112",1519.46309408179
"V113",297.600545537831
"V114",2911.71035482076
"V115",433.963641397341
"V116",939.909747760945
"V117",2209.51092468968
"V118",1760.37062672686
"V119",1141.29996725096
"V120",1320.07697674638
"V121",892.122555546058
"V122",583.160839103452
"V123",845.494927548164
"V124",1733.83648687122
"V125",993.954780270107
"V126",1346.2740151863
"V127",182.212941222361
"V128",3147.0321741396
"V129",368.09012484753
"V130",884.175322234916
"V131",1530.82242702593
"V132",2125.79828805529
"V133",1419.37917002023
"V134",2004.52076234321
"V135",957.160071254455
"V136",687.568445750548
"V137",1205.4560391186
"V138",2081.65874903749
"V139",2087.34499000844
"V140",1558.93429392587
"V141",140.084437276173
"V142",59.0534911840405
"V143",569.905128426023
"V144",849.875627994578
"V145",320.640688123301
"V146",653.609253647336
"V147",790.010636326166
"V148",365.193227847808
"V149",618.400204490395
"V150",455.201988975422
"V151",890.814411404218
"V152",1019.41831443968
"V153",656.817760980291
"V154",935.648732353077
"V155",127.543066398662
"V156",579.043069838177
"V157",466.965797073357
"V158",1035.37739931528
"V159",288.45772386584
"V160",1575.44563942132
"V161",979.395614169289
"V162",1098.02436148396
"V163",579.695738045127
"V164",612.678317095704
"V165",1312.65300070222
"V166",1195.95910088925
"V167",1608.86374286035
"V168",1498.21939146934
"V169",121.893968507787
"V170",1310.12534638361
"V171",240.484723724219
"V172",1990.59018126456
"V173",327.758319304292
"V174",2515.74386194915
"V175",1364.88091782429
"V176",1835.14445737095
"V177",746.327859328916
"V178",556.028882294935
"V179",1403.00837041567
"V180",1777.43066525595
"V181",2181.35944705262
"V182",1818.18115791121
"V183",141.451619802916
"V184",90.3924135518774
"V185",323.290066976335
"V186",552.692115077325
"V187",255.02861440839
"V188",944.049178259214
"V189",525.861050862388
"V190",352.148350739123
"V191",474.429105074319
"V192",491.320366819793
"V193",626.946626809156
"V194",850.919317644427
"V195",800.278443249519
"V196",812.449987820082
"V197",126.500596706408
"V198",967.575610574925
"V199",273.688694232604
"V200",1388.43826396613
"V201",506.821271054345
"V202",2093.79573896641
"V203",1126.15197574615
"V204",1729.33010876197
"V205",674.431538130018
"V206",629.595026319431
"V207",1183.93977495831
"V208",1405.56682303501
"V209",1924.50351193581
"V210",1874.12873049969
"V211",121.768742428114
"V212",971.684731107728
"V213",375.388561726109
"V214",972.219870336564
"V215",280.689556679927
"V216",1385.82232259034
"V217",697.368231590405
"V218",776.341867196511
"V219",586.930626642778
"V220",556.796243156647
"V221",1157.22239803159
"V222",1328.18411898688
"V223",1612.64010211497
"V224",1316.25298881528
