"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0,9999.99999999997,9647.8389146265,10000,9918.26238782381,10000,9519.90889346403,9999.99999999997,9999.99999999996,9999.99999999999,10439.7564186423,10000,9999.99999999999,10000,9999.99999999999,9155.18535984822
"2",9999.99999999997,0,10000,9999.99999999995,9999.99999999999,10000,10000.0000000001,10350.7252061669,10000,10000,10000,10000,10000,9596.94451029656,10000,10000
"3",9647.8389146265,10000,0,10614.6881437561,9999.99999999999,10000,10000,9829.28091418932,10000,10000,9999.99999999997,9330.1675870096,10664.372180392,9999.99999999998,9572.7729898915,9999.99999999997
"4",10000,9999.99999999995,10614.6881437561,0,10000,10000,9999.99999999997,10000,10000,9999.99999999997,9999.99999999998,10391.166484383,9999.99999999993,9999.99999999996,11992.5000678348,10000
"5",9918.26238782381,9999.99999999999,9999.99999999999,10000,0,9999.99999999996,10000,9999.99999999999,9871.64358168596,8735.07558477019,10000,10000,9999.99999999996,10000,9647.819722177,9999.99999999997
"6",10000,10000,10000,10000,9999.99999999996,0,9999.99999999997,10267.0579319691,10000,10000,10000,9999.99999999998,9999.99999999999,9999.99999999999,9599.71352808578,10000
"7",9519.90889346403,10000.0000000001,10000,9999.99999999998,10000,9999.99999999997,0,10046.7347731708,9999.99999999999,9999.99999999997,9655.03227283083,9215.65705966436,11710.8413828375,10000,10000,10682.4620275267
"8",9999.99999999998,10350.7252061669,9829.28091418931,10000,9999.99999999998,10267.0579319691,10046.7347731708,0,10000,10000.0000000001,10000,10000,10000,9999.99999999997,9999.99999999997,9999.99999999995
"9",9999.99999999996,10000,10000,9999.99999999999,9871.64358168596,10000,10000,10000,0,10000,10000,10000,10000,9999.99999999999,10000.0000000001,10412.5156297079
"10",9999.99999999999,10000,10000,9999.99999999997,8735.07558477019,10000,9999.99999999997,10000.0000000001,9999.99999999999,0,10000,10000,10000,10000,10000,9999.99999999997
"11",10439.7564186423,10000,9999.99999999996,9999.99999999998,10000,10000,9655.03227283083,10000,10000,10000,0,9782.7473607534,9609.5132298417,9999.99999999997,9999.99999999999,9999.99999999999
"12",10000,10000,9330.1675870096,10391.166484383,9999.99999999999,9999.99999999998,9215.65705966436,10000,10000,10000,9782.7473607534,0,9999.99999999998,10000,9999.99999999997,9999.99999999999
"13",9999.99999999999,10000,10664.372180392,9999.99999999993,9999.99999999996,9999.99999999999,11710.8413828375,10000,10000,10000,9609.5132298417,9999.99999999998,0,10000,9999.99999999999,9999.99999999999
"14",10000,9596.94451029656,9999.99999999999,9999.99999999996,10000,9999.99999999998,10000,9999.99999999998,9999.99999999998,10000,9999.99999999997,10000,10000,0,10000,10339.9494490953
"15",9999.99999999998,10000,9572.77298989151,11992.5000678348,9647.819722177,9599.71352808578,10000,9999.99999999997,10000.0000000001,10000,9999.99999999999,9999.99999999997,9999.99999999998,9999.99999999999,0,9999.99999999998
"16",9155.18535984822,10000,9999.99999999997,10000,9999.99999999997,10000,10682.4620275267,9999.99999999995,10412.5156297079,9999.99999999997,9999.99999999999,9999.99999999999,9999.99999999999,10339.9494490953,9999.99999999998,0
